Date,Time,Type,Cancelled
2023-07-26,20:00,Vriendschappelijk,0
2023-07-30,18:30,Vriendschappelijk,0
2023-08-08,20:30,Champions League,0
2023-08-12,16:30,Eredivisie,0
2023-08-30,21:00,Champions League,0
2023-09-16,20:00,Eredivisie,0
2023-09-27,18:45,Eredivisie,0
2023-09-30,18:45,Eredivisie,0
2023-10-03,21:00,Champions League,0
2023-10-21,18:45,Eredivisie,0
2023-10-29,14:30,Eredivisie,0
2023-11-08,21:00,Champions League,0
2023-11-12,12:15,Eredivisie,0
2023-12-07,18:45,Eredivisie,0
2023-12-12,18:45,Champions League,0
2023-12-21,Afgelast,KNVB Beker,1
2024-01-13,21:00,Eredivisie,0
2024-01-17,21:00,KNVB Beker,0
2024-01-27,18:45,Eredivisie,0
2024-02-16,20:00,Eredivisie,0
2024-02-20,21:00,Champions League,0
2024-03-03,14:30,Eredivisie,0
2024-03-17,20:00,Eredivisie,0
2024-04-06,18:45,Eredivisie,0
2024-04-13,16:30,Eredivisie,0
2024-05-05,12:15,Eredivisie,0
2024-05-19,14:30,Eredivisie,0
